index,datetime,request_count
96,1995-08-28 08:00:00,626
97,1995-08-28 08:05:00,624
98,1995-08-28 08:10:00,561
99,1995-08-28 08:15:00,595
100,1995-08-28 08:20:00,444
101,1995-08-28 08:25:00,528
102,1995-08-28 08:30:00,692
103,1995-08-28 08:35:00,817
104,1995-08-28 08:40:00,598
105,1995-08-28 08:45:00,592
106,1995-08-28 08:50:00,685
107,1995-08-28 08:55:00,762
108,1995-08-28 09:00:00,653
109,1995-08-28 09:05:00,898
110,1995-08-28 09:10:00,613
111,1995-08-28 09:15:00,701
112,1995-08-28 09:20:00,772
113,1995-08-28 09:25:00,693
114,1995-08-28 09:30:00,695
115,1995-08-28 09:35:00,836
116,1995-08-28 09:40:00,862
117,1995-08-28 09:45:00,773
118,1995-08-28 09:50:00,786
119,1995-08-28 09:55:00,942
120,1995-08-28 10:00:00,851
121,1995-08-28 10:05:00,773
122,1995-08-28 10:10:00,826
123,1995-08-28 10:15:00,1227
124,1995-08-28 10:20:00,1172
125,1995-08-28 10:25:00,936
126,1995-08-28 10:30:00,1094
127,1995-08-28 10:35:00,1003
128,1995-08-28 10:40:00,1218
129,1995-08-28 10:45:00,919
130,1995-08-28 10:50:00,1196
131,1995-08-28 10:55:00,838
132,1995-08-28 11:00:00,1007
133,1995-08-28 11:05:00,1383
134,1995-08-28 11:10:00,1181
135,1995-08-28 11:15:00,1208
136,1995-08-28 11:20:00,1287
137,1995-08-28 11:25:00,1031
138,1995-08-28 11:30:00,1065
139,1995-08-28 11:35:00,1200
140,1995-08-28 11:40:00,1009
141,1995-08-28 11:45:00,1226
142,1995-08-28 11:50:00,930
143,1995-08-28 11:55:00,1363
144,1995-08-28 12:00:00,935
145,1995-08-28 12:05:00,1236
146,1995-08-28 12:10:00,1289
147,1995-08-28 12:15:00,1338
148,1995-08-28 12:20:00,1008
149,1995-08-28 12:25:00,1257
150,1995-08-28 12:30:00,1088
151,1995-08-28 12:35:00,1330
152,1995-08-28 12:40:00,1210
153,1995-08-28 12:45:00,1123
154,1995-08-28 12:50:00,1474
155,1995-08-28 12:55:00,1209
156,1995-08-28 13:00:00,1246
