ds,y
7/6/1995 8:00,656
7/6/1995 8:05,742
7/6/1995 8:10,846
7/6/1995 8:15,594
7/6/1995 8:20,640
7/6/1995 8:25,518
7/6/1995 8:30,686
7/6/1995 8:35,740
7/6/1995 8:40,744
7/6/1995 8:45,846
7/6/1995 8:50,650
7/6/1995 8:55,738
7/6/1995 9:00,760
7/6/1995 9:05,878
7/6/1995 9:10,740
7/6/1995 9:15,1098
7/6/1995 9:20,934
7/6/1995 9:25,804
7/6/1995 9:30,862
7/6/1995 9:35,880
7/6/1995 9:40,936
7/6/1995 9:45,728
7/6/1995 9:50,736
7/6/1995 9:55,666
7/6/1995 10:00,796
7/6/1995 10:05,858
7/6/1995 10:10,896
7/6/1995 10:15,976
7/6/1995 10:20,888
7/6/1995 10:25,972
7/6/1995 10:30,1004
7/6/1995 10:35,1030
7/6/1995 10:40,1110
7/6/1995 10:45,894
7/6/1995 10:50,1048
7/6/1995 10:55,1158
7/6/1995 11:00,940
7/6/1995 11:05,1030
7/6/1995 11:10,1026
7/6/1995 11:15,1074
7/6/1995 11:20,994
7/6/1995 11:25,1318
7/6/1995 11:30,1052
7/6/1995 11:35,1200
7/6/1995 11:40,1148
7/6/1995 11:45,1028
7/6/1995 11:50,1008
7/6/1995 11:55,1026
7/6/1995 12:00,922
7/6/1995 12:05,958
7/6/1995 12:10,1036
7/6/1995 12:15,1152
7/6/1995 12:20,1024
7/6/1995 12:25,1006
7/6/1995 12:30,948
7/6/1995 12:35,1182
7/6/1995 12:40,1188
7/6/1995 12:45,1332
7/6/1995 12:50,1062
7/6/1995 12:55,1000
7/6/1995 13:00,1214
7/6/1995 13:05,1000
7/6/1995 13:10,1276
7/6/1995 13:15,1200
7/6/1995 13:20,1144
7/6/1995 13:25,974
7/6/1995 13:30,1312
7/6/1995 13:35,992
7/6/1995 13:40,1128
7/6/1995 13:45,1284
7/6/1995 13:50,1026
7/6/1995 13:55,1302
7/6/1995 14:00,1174
7/6/1995 14:05,1296
7/6/1995 14:10,1102
7/6/1995 14:15,1118
7/6/1995 14:20,1302
7/6/1995 14:25,1244
7/6/1995 14:30,1144
7/6/1995 14:35,1142
7/6/1995 14:40,870
7/6/1995 14:45,1144
7/6/1995 14:50,1234
7/6/1995 14:55,1078
7/6/1995 15:00,1252
7/6/1995 15:05,1256
7/6/1995 15:10,1098
7/6/1995 15:15,988
7/6/1995 15:20,1106
7/6/1995 15:25,1192
7/6/1995 15:30,1090
7/6/1995 15:35,1116
7/6/1995 15:40,1310
7/6/1995 15:45,1104
7/6/1995 15:50,1366
7/6/1995 15:55,1244
7/6/1995 16:00,1300
7/6/1995 16:05,1204
7/6/1995 16:10,1102
7/6/1995 16:15,1190
